Content-Type: text/plain; charset=ISO-8859-1

Date de debut : 1/5/2013,
Date de fin : 31/5/2013,
Projet Codex|Description|Cree le|Organisation|Administrateur|Nom|Email|Activite CVS|ActiviteSVN|Push Git|Fichiers publie|Fichiers publies (total)|Fichiers telecharges (total)|Telechargements|Listes de diffusion actives|Listes de diffusion inactives|Forums actifs|Forums inactifs|Activites Forum|Documents wiki|Pages modifiees|Pages wiki (total)|Artifacts ouverts|Artifacts fermes|Utilisateurs ajoutes|Code projet|Documents ajoutes|Documents effaces|News publiees|Sondages actif|Reponses sondages|IntegrationContinueActive|IntegrationContinueJobs|
"gfgfggggggggg"|"gfgf"|2013-01-18|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"TestInstallTNG1"|"piii"|2011-09-14|0|sandra_yahoo|Sandra Echinard|echinard_sandra@yahoo.fr|0|0|0|0|0|0|0|0|0|3|0|0|1|0|6|0|0|0|0|0|0|0|0|0|0|1|
"Test Project 2"|"test"|2011-07-27|0|admin|Site Administrator|admin|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"TestAgileDashboard4"|"uui"|2012-09-17|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Private Project 1"|"fdf"|2011-08-19|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"TestAgileDashboardNotTemp2"|"dsds"|2012-09-19|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Test Project 1"|"test"|2011-07-26|0|admin|Site Administrator|admin|0|0|0|0|0|0|0|0|0|3|0|0|1|0|4|0|0|0|0|0|0|0|0|0|0|0|
"Ftp"|"tyt"|2012-05-07|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"testPrivate"|"ghhgfh"|2012-02-22|0|member1|Member 1|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Tracker Next Gen 2"|"dgfg"|2011-08-25|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"webdav_mime_type_all_new"|"ddddddd"|2013-04-10|0|admin|Site Administrator|admin|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"TestDupliPlanningTitles"|"fff"|2012-06-01|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Tuleap Documentation"|"sfd"|2013-01-16|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Shared Fields 2"|"sdsd"|2012-02-20|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|1|0|2|0|0|0|0|0|0|0|0|0|0|0|
"TestProject3"|"eee"|2011-08-16|0|admin|Site Administrator|admin|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"testSOAP2"|""|2012-01-25|0|member1|Member 1|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"AgileProject Duplicate"|"fgfgfgfgf"|2013-04-23|0|admin|Site Administrator|admin|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"My Agile Project"|"dsds"|2012-10-05|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|1|2|11|1|0|0|0|2|1|0|0|0|0|0|
"Test CVS Public"|"ghg"|2012-04-16|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Test defect"|"fgf"|2012-06-14|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Test Subversion 2"|"yjyh"|2012-06-27|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"webdav_mime_type"|"ghghgh"|2013-04-10|0|admin|Site Administrator|admin|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"TestAgileDashboard"|"qsq"|2012-09-17|0|member1|Member 1|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"Webdav2"|"hfh"|2011-09-12|0|member1|Member 1|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|
"Cross Tracker Search 2"|"ddd"|2012-03-28|0|member1|Member 1|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
"testSOAP"|""|2012-01-25|0|sandrae|Sandra Echinard|sandra@cro.enalean.com|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
